LOCATION_ID,ADDRESS,BKCLASS,CBSA,CBSA_DIV,CBSA_DIV_FLG,CBSA_DIV_NO,CBSA_METRO,CBSA_METRO_FLG,CBSA_METRO_NAME,CBSA_MICRO_FLG,CBSA_NO,CERT,CITY,COUNTY,CSA,CSA_FLG,CSA_NO,ESTYMD,FI_UNINUM,MAINOFF,NAME,OFFNAME,OFFNUM,RUNDATE,SERVTYPE,STALP,STCNTY,STNAME,UNINUM,ZIP
1,8001 West Florissant Avenue,N,"St. Louis, MO-IL",,0,,41180,1,"St. Louis, MO-IL",0,41180,6384,Saint Louis,St. Louis,"St. Louis-St. Charles-Farmington, MO-IL",1,476,12/3/07,4287,0,"Worldwide Bank",JENNINGS BRANCH,3569,4/24/20,11,MO,29189,Missouri,470566,63136
2,"240 South Pineapple Avenue, Suite 400",N,"North Port-Sarasota-Bradenton, FL",,0,,35840,1,"North Port-Sarasota-Bradenton, FL",0,35840,6384,Sarasota,Sarasota,"North Port-Sarasota, FL",1,412,1/15/08,4287,0,"Worldwide Bank",NATIONAL CITY PCG-SARASOTA BRANCH,3645,4/24/20,21,FL,12115,Florida,473422,34236
3,716 East Silver Springs Blvd,N,"Ocala, FL",,0,,36100,1,"Ocala, FL",0,36100,6384,Ocala,Marion,,0,,4/12/08,4287,0,"Worldwide Bank",SILVER SPRINGS BOULEVARD BRANCH,4249,4/24/20,11,FL,12083,Florida,474186,34470
4,825 Plainfield Road,N,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Evanston, IL",1,16984,16980,1,"Chicago-Naperville-Elgin, IL-IN-WI",0,16980,6384,Willowbrook,Dupage,"Chicago-Naperville, IL-IN-WI",1,176,1/7/08,4287,0,"Worldwide Bank",WILLOWBROOK BRANCH,3648,4/24/20,11,IL,17043,Illinois,475986,60527
5,42 N. Union Street,N,"Columbus, OH",,0,,18140,1,"Columbus, OH",0,18140,6384,Delaware,Delaware,"Columbus-Marion-Zanesville, OH",1,198,7/1/07,4287,0,"Worldwide Bank",DELAWARE-MAIN DU BRANCH,3669,4/24/20,23,OH,39041,Ohio,479745,43015
6,802 Gallia Street,N,"Portsmouth, OH",,0,,0,0,,1,39020,6384,Portsmouth,Scioto,"Charleston-Huntington-Ashland, WV-OH-KY",1,170,7/1/07,4287,0,"Worldwide Bank",PORTSMOUTH-MAIN DU BRANCH,3675,4/24/20,23,OH,39145,Ohio,479751,45662
7,3501 Roosevelt Boulevard,N,"Birmingham-Hoover, AL",,0,,13820,1,"Birmingham-Hoover, AL",0,13820,6384,Birmingham,Jefferson,"Birmingham-Hoover-Talladega, AL",1,142,6/23/08,4287,0,"Worldwide Bank",BIRMINGHAM-TRUSSVILLE-TUTWILER BRANCH,4332,4/24/20,11,AL,1073,Alabama,480915,35235
8,2145 York Road,N,"Baltimore-Columbia-Towson, MD",,0,,12580,1,"Baltimore-Columbia-Towson, MD",0,12580,6384,Timonium,Baltimore,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,2/25/09,4287,0,"Worldwide Bank",TIMONIUM @ GIANT BRANCH,2079,4/24/20,12,MD,24005,Maryland,493305,21093
9,7200 Cradlerock Way,N,"Baltimore-Columbia-Towson, MD",,0,,12580,1,"Baltimore-Columbia-Towson, MD",0,12580,6384,Columbia,Howard,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,2/25/09,4287,0,"Worldwide Bank",COLUMBIA @ GIANT BRANCH,2103,4/24/20,12,MD,24027,Maryland,493329,21045
10,3530 Sugarloaf Parkway,N,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Frederick-Gaithersburg-Rockville, MD",1,23224,47900,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,47900,6384,Frederick,Frederick,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,4/1/09,4287,0,"Worldwide Bank",URBANA @ GIANT BRANCH,2107,4/24/20,12,MD,24021,Maryland,493333,21704
11,200 Rosewick Rd,N,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",1,47894,47900,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,47900,6384,La Plata,Charles,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,6/3/09,4287,0,"Worldwide Bank",LaPLATA @ GIANT BRANCH,2118,4/24/20,12,MD,24017,Maryland,493830,20646
12,289 S. Pompano Parkway,N,"Miami-Fort Lauderdale-Pompano Beach, FL","Fort Lauderdale-Pompano Beach-Sunrise, FL",1,22744,33100,1,"Miami-Fort Lauderdale-Pompano Beach, FL",0,33100,6384,Pompano Beach,Broward,"Miami-Port St. Lucie-Fort Lauderdale, FL",1,370,3/16/09,4287,0,"Worldwide Bank",POMPANO BEACH BRANCH,3703,4/24/20,11,FL,12011,Florida,494310,33069
13,3558 South Jefferson Street,N,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",1,47894,47900,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,47900,6384,Falls Church,Fairfax,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,12/7/09,4287,0,"Worldwide Bank",BAILEY'S CROSSROADS BRANCH,3726,4/24/20,11,VA,51059,Virginia,500308,22041
14,3297 Crain Hwy,N,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",1,47894,47900,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,47900,6384,Waldorf,Charles,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,4/28/10,4287,0,"Worldwide Bank",CHARLES CENTER PLAZA @ GIANT BRANCH,3733,4/24/20,12,MD,24017,Maryland,508406,20603
15,842 Muddy Branch,N,"Washington-Arlington-Alexandria, DC-VA-MD-WV","Frederick-Gaithersburg-Rockville, MD",1,23224,47900,1,"Washington-Arlington-Alexandria, DC-VA-MD-WV",0,47900,6384,Gaithersburg,Montgomery,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,548,5/19/10,4287,0,"Worldwide Bank",MUDDY BRANCH @ GIANT BRANCH,3751,4/24/20,12,MD,24031,Maryland,510870,20878
